Internal key	English source	Translation	Placeholders
$Whereabouts_TrackingDispatchFailed	Tracking request could not be dispatched		
$Whereabouts_TrackingTaskUnavailable	SKSE task interface is unavailable		
$Whereabouts_TrackingUpdating	Tracking is updating		
$Whereabouts_TrackingExpectedBodyUnavailable	Tracking quest or expected body is unavailable		
$Whereabouts_TrackingSlotChanged	Tracking slot no longer owns the expected body		
$Whereabouts_DeathDispatchFailed	Dead-body retirement could not be dispatched		
$Whereabouts_DeathScriptNotReady	Tracking quest script did not become ready for dead-body retirement		
$Whereabouts_EmptyObjectiveUnavailable	Tracking objective is unavailable		
$Whereabouts_EmptyObjectiveDispatchFailed	Empty tracked objective could not be dispatched		
$Whereabouts_EmptyObjectiveScriptNotReady	Tracking quest script did not become ready for empty-objective retirement		
$Whereabouts_UninstallOwnershipFailed	Uninstall cleanup could not acquire tracking ownership		
$Whereabouts_TrackingLayoutInvalidPublic	Whereabouts tracking quest layout is invalid		
$Whereabouts_TrackingLayoutInvalidSentence	Whereabouts tracking quest layout is invalid.		
$Whereabouts_TrackingAliasUnavailable	A validated tracking alias became unavailable		
$Whereabouts_LockedPageProgress	Whereabouts is locked. Open Settings for progress and recovery instructions.		
$Whereabouts_ResumeNotSafeToUninstall	Tracking restart has not been verified. Do not uninstall from this state. Retry Resume or load a save from before cleanup.		
$Whereabouts_Faction	Faction		
$Whereabouts_BaseKeyword	Base keyword		
$Whereabouts_FindFaction	Find faction		
$Whereabouts_FindKeyword	Find keyword		
$Whereabouts_FindPlugin	Find plugin		
$Whereabouts_FindLocation	Find location		
$Whereabouts_SearchList	Search list...		
$Whereabouts_NoMatchingEntries	No matching entries.		
$Whereabouts_Previous	Previous		
$Whereabouts_Next	Next		
$Whereabouts_PageCount	Page {} of {}		{} {}
$Whereabouts_ShowAll	Show all		
$Whereabouts_PluginPickerHelp	Select one or more plugins.		
$Whereabouts_LocationPickerHelp	Type for contains matching, or select an observed location for an exact match.		
$Whereabouts_SelectedCount	{} selected		{}
$Whereabouts_NoMatchingRecords	No matching records.		
$Whereabouts_RecordMatchesNarrow	{} matches; type to narrow.		{}
$Whereabouts_FactionFilterHelp	Filter by an NPC's base faction.		
$Whereabouts_BaseKeywordFilterHelp	Filter by a keyword on the base NPC.		
$Whereabouts_Class	Class		
$Whereabouts_VoiceType	Voice type		
$Whereabouts_CombatStyle	Combat style		
$Whereabouts_LevelScaling	Level scaling		
$Whereabouts_OriginalPlugin	Original plugin		
$Whereabouts_WinningPlugin	Winning plugin		
$Whereabouts_PluginRecords	Plugin records		
$Whereabouts_AllTouchingPlugins	All touching plugins		
$Whereabouts_TouchesNpcRecord	Touches NPC record		
$Whereabouts_MultiplePluginRecords	Multiple plugin records		
$Whereabouts_MinPluginRecords	Min plugin records		
$Whereabouts_MaxPluginRecords	Max plugin records		
$Whereabouts_LevelScaled	Level scaled		
$Whereabouts_FindClass	Find class		
$Whereabouts_FindVoiceType	Find voice type		
$Whereabouts_FindCombatStyle	Find combat style		
$Whereabouts_IndexedReferencesSharingBase	Indexed references sharing this base		
$Whereabouts_PcLevelScaling	PC level x {:.3f} (min {}, max {})		{:.3f} {} {}
$Whereabouts_FixedLevel	Fixed level {}		{}
$Whereabouts_EffectiveBaseDataOwner	Effective Base Data owner		
$Whereabouts_IndexedReferencesSharingBaseDataOwner	Indexed references sharing this Base Data owner		
$Whereabouts_StopCombat	Stop Combat		
$Whereabouts_EssentialProtected	Essential / Protected		
$Whereabouts_MakeEssential	Make Essential		
$Whereabouts_MakeProtected	Make Protected		
$Whereabouts_RemoveFlags	Remove Flags		
$Whereabouts_RestoreOriginalFlags	Restore Original Flags		
$Whereabouts_CopyNpcReport	Copy NPC Report		
$Whereabouts_QuickAction	Quick Action		
$Whereabouts_Qa	QA		
$Whereabouts_ShowCommandConfirmations	Show command confirmations		
$Whereabouts_CommandConfirmationsHelp	When off, built-in NPC commands, built-in quick actions, tracking, and location travel run without confirmation prompts. Custom commands always run immediately after validation.		
$Whereabouts_RowButtonAction	Row button action		
$Whereabouts_DoubleClickAction	Double-click action		
$Whereabouts_RowButtonActionHelp	Action used by the small NPC-row button.		
$Whereabouts_DoubleClickActionHelp	Action used when an NPC result row is double-clicked.		
$Whereabouts_CustomCommands	Custom commands		
$Whereabouts_CustomCommandNumber	Custom Command {}		{}
$Whereabouts_CustomCommandHelp	Use {refid} and {baseid} for resolved eight-digit FormIDs. Commands are dispatched to exactly one selected NPC.		{refid} {baseid}
$Whereabouts_ActorFlagsHelp	Changes independent Essential and Protected flags on the effective base NPC.		
$Whereabouts_NoOriginalFlags	No original flags were captured this session.		
$Whereabouts_CustomCommandPreview	This command is dispatched to the selected NPC:		
$Whereabouts_RunsAction	Runs: {}		{}
$Whereabouts_ActionUnavailable	{} - {}		{} {}
$Whereabouts_CopiedNpcReport	Copied NPC report.		
$Whereabouts_CustomCommandQueued	Custom command queued.		
$Whereabouts_CustomCommandDispatched	{} dispatched.		{}
$Whereabouts_NpcInspector	NPC Inspector		
